0 59.2176 0.0 -3
0.05 47.5759 -2328.34 -2.64126
0.1 43.8857 -738.035 -2.44302
0.15 43.1465 -147.857 -2.33005
0.2 43.4933 69.3597 -2.26818
0.25 44.2413 149.614 -2.2373
0.3 45.1412 179.985 -2.22531
0.35 46.1034 192.433 -2.22486
0.4 47.0964 198.605 -2.23147
0.45 48.1099 202.69 -2.24242
0.5 49.1407 206.159 -2.25602
0.55 50.1882 209.504 -2.27127
0.6 51.2526 212.873 -2.28751
0.65 52.334 216.297 -2.30437
0.7 53.4329 219.772 -2.32161
0.75 54.5493 223.285 -2.33906
0.8 55.6834 226.823 -2.35665
0.85 56.8353 230.376 -2.37429
0.9 58.005 233.934 -2.39196
0.95 59.1924 237.49 -2.40963
1 60.3976 241.037 -2.42726
1.05 61.6205 244.57 -2.44486
1.1 62.8609 248.083 -2.46241
1.15 64.1187 251.57 -2.47989
1.2 65.3939 255.026 -2.49729
1.25 66.6861 258.447 -2.51462
1.3 67.9952 261.825 -2.53185
1.35 69.321 265.157 -2.54898
1.4 70.6632 268.437 -2.56601
1.45 72.0215 271.657 -2.58292
1.5 73.3956 274.814 -2.5997
1.55 74.785 277.899 -2.61635
1.6 76.1896 280.908 -2.63285
1.65 77.6088 283.834 -2.6492
1.7 79.0421 286.671 -2.6654
1.75 80.4892 289.411 -2.68142
1.8 81.9494 292.047 -2.69727
1.85 83.4223 294.574 -2.71293
1.9 84.9072 296.985 -2.7284
1.95 86.4036 299.271 -2.74366
2 87.9107 301.426 -2.7587
2.05 89.4279 303.443 -2.77353
2.1 90.9545 305.316 -2.78812
2.15 92.4897 307.035 -2.80247
2.2 94.0326 308.596 -2.81657
2.25 95.5826 309.99 -2.83041
2.3 97.1386 311.21 -2.84399
2.35 98.6999 312.25 -2.85728
2.4 100.265 313.103 -2.87029
2.45 101.834 313.763 -2.883
2.5 103.405 314.222 -2.89541
2.55 104.978 314.476 -2.9075
2.6 106.55 314.517 -2.91926
2.65 108.122 314.341 -2.9307
2.7 109.692 313.941 -2.94179
2.75 111.258 313.313 -2.95253
2.8 112.821 312.453 -2.96291
2.85 114.377 311.356 -2.97292
2.9 115.927 310.019 -2.98256
2.95 117.47 308.438 -2.9918
3 119.003 306.61 -3.00066
3.05 120.525 304.534 -3.00911
3.1 122.036 302.208 -3.01715
3.15 123.535 299.631 -3.02477
3.2 125.019 296.802 -3.03196
